Mon Jul 25 11:58:35 2022    output.dat

         18432856 function calls (18081567 primitive calls) in 55.223 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    47136    0.023    0.000    0.342    0.000 <__array_function__ internals>:2(any)
    47136    0.028    0.000    0.289    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2249(any)
    47136    0.006    0.000    0.006    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2245(_any_dispatcher)
    46447    0.106    0.000    0.159    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:2949(_update_from)
    46081    0.057    0.000    0.057    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
    43131    0.064    0.000    0.274    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:2975(__array_finalize__)
    42946    0.105    0.000    0.105    0.000 {method 'round' of 'numpy.generic' objects}
    42844    0.016    0.000    0.052    0.000 <__array_function__ internals>:2(ndim)
    42844    0.004    0.000    0.004    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3071(_ndim_dispatcher)
    42844    0.012    0.000    0.018    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3075(ndim)
    40178    0.004    0.000    0.004    0.000 {built-in method builtins.abs}
    38829    0.004    0.000    0.004    0.000 {method 'pop' of 'dict' objects}
38270/38268    0.023    0.000    0.110    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1015(get_points)
    36497    0.012    0.000    0.021    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:3636(_get_data)
    36126    0.028    0.000    0.084    0.000 {method 'any' of 'numpy.generic' objects}
    35266    0.014    0.000    0.025    0.000 {built-in method builtins.any}
    33653    0.014    0.000    0.021    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:244(iterable)
    32830    0.007    0.000    0.007    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    29785    0.064    0.000    0.064    0.000 {built-in method numpy.arange}
28895/11993    0.026    0.000    0.030    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:136(_invalidate_internal)
    28205    0.008    0.000    0.072    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:56(_all)
    28199    0.013    0.000    0.085    0.000 {method 'all' of 'numpy.ndarray' objects}
    26908    0.004    0.000    0.004    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:586(<genexpr>)
    26908    0.003    0.000    0.003    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:588(<genexpr>)
    26809    0.012    0.000    0.012    0.000 {built-in method builtins.max}
    26772    0.004    0.000    0.004    0.000 {built-in method numpy.geterrobj}
    25708    0.008    0.000    0.008    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:1284(_replace_dtype_fields_recursive)
    25708    0.015    0.000    0.023    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:1316(_replace_dtype_fields)
    25708    0.006    0.000    0.029    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:1330(make_mask_descr)
    25599    0.003    0.000    0.003    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1868(get_matrix)
    25534    0.029    0.000    0.029    0.000 {built-in method numpy.zeros}
    25473    0.011    0.000    0.029    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1831(__init__)
    23691    0.004    0.000    0.007    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:177(<lambda>)
    23045    0.804    0.000    0.804    0.000 {method 'sort' of 'numpy.ndarray' objects}
    23039    0.013    0.000    0.849    0.000 <__array_function__ internals>:2(sort)
    23039    0.023    0.000    0.824    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:839(sort)
    23039    0.003    0.000    0.003    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:835(_sort_dispatcher)
    21566    0.060    0.000    0.306    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:2819(__new__)
    20404    0.024    0.000    0.024    0.000 {method 'astype' of 'numpy.generic' objects}
    20404    0.007    0.000    0.012    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/numerictypes.py:286(issubclass_)
    20400    4.958    0.000   27.966    0.001 /tmp/ipykernel_87004/1236468573.py:1(getFrontInWindow)
19900/9950    0.057    0.000    0.108    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/units.py:197(get_converter)
    19900    0.013    0.000    0.039    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1633(safe_first_element)
    19449    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    18838    0.002    0.000    0.002    0.000 {method 'values' of 'dict' objects}
    18808    0.008    0.000    0.032    0.000 <__array_function__ internals>:2(dot)
    18808    0.002    0.000    0.002    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:706(dot)
    18663    0.023    0.000    0.028    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:163(set_children)
    18473    0.011    0.000    0.057    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2462(composite_transform_factory)
    18471    0.014    0.000    0.079    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:361(ymax)
    18466    0.014    0.000    0.079    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:351(ymin)
    18448    0.017    0.000    0.170    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:346(xmin)
