Mon Jul 25 11:58:35 2022    output.dat

         18432856 function calls (18081567 primitive calls) in 55.223 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    47460    0.038    0.000    0.307    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:4616(append)
     9949    0.038    0.000    0.229    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/colors.py:282(to_rgba_array)
   152667    0.038    0.000    0.038    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:71(<dictcomp>)
       15    0.037    0.002    0.037    0.002 {method 'put' of 'numpy.ndarray' objects}
    16404    0.035    0.000    0.107    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/nanfunctions.py:343(nanmax)
    87027    0.035    0.000    5.223    0.000 <__array_function__ internals>:2(concatenate)
        3    0.034    0.011    0.037    0.012 /home/luisfigueiredo/.local/lib/python3.8/site-packages/pandas/core/groupby/ops.py:593(_aggregate)
    16423    0.034    0.000    0.049    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:82(atleast_2d)
    16924    0.033    0.000    0.108    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:727(__init__)
     1659    0.032    0.000    0.032    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:1728(_sci)
69942/50154    0.032    0.000    0.052    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:217(stale)
     1658    0.031    0.000    0.663    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/contour.py:1399(_process_args)
   111166    0.031    0.000    0.031    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:3406(dtype)
    50246    0.030    0.000    0.185    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2714(amin)
    25534    0.029    0.000    0.029    0.000 {built-in method numpy.zeros}
     9954    0.029    0.000    0.235    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/colors.py:966(process_value)
    36126    0.028    0.000    0.084    0.000 {method 'any' of 'numpy.generic' objects}
    47136    0.028    0.000    0.289    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2249(any)
